Category,Text	
negative,"""5903"","" 's scathing, logical, and articulate take down of larry summer's blog post on demonetization"	
negative,"5% bad idea, poor implementation"",false,1,na,""2016-11-23 07:51:38"",false,na,""801332364039385088"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""peter_vas"",6,false,false"	
negative,"""7524"",""rt : ~ says india is through the worst of demonetization; things should start to improve quite rapidly."	
negative,"""255"",""rt : today i saw 200 black money hoarders out of 125 crore"	
negative,"""6312"",""rt : demonetization : paan shop owner gets 'fake' rs 2,000 note in ahmedabad."	
negative,"""2452"",""whos millions <u+20b9> turns raddi or scrap in few mins r observing aakroshdin <u+0906><u+0915><u+094d><u+0930><u+094b><u+0936><u+0926><u+093f><u+0928>"	
negative,"""3398"",""per c-voter on demonetization, approximately:"	
negative,"""183"",""rt : how come those people crying for line in banks are not crying for line ups here in......"	
negative,"""1383"",""rt : shiva sena and sad fall in line with the government on demonetization say, we support the decision. "",false,0,na,""2016-11-23 13:47:26"",false,na,""801421906024939520"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""suhana41"",16,true,false"	
negative,"""664"",""  surprise...surprise!!! so thats why  has been protesting demonetization from day one!!"",false,0,""sardesairajdeep"",""2016-11-23 16:22:12"",false,""801433712910946305"",""801460851354042368"",""56304605"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""neocool14"",0,false,false"	
negative,"""5110"","" . our money is safe in bank, but balance is low and it's value will increase in few days. demonetization"",false,0,""minimathur"",""2016-11-23 01:25:17"",false,""801025520070774785"",""801235137895731200"",""58761257"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""_champakbhumiya"",0,false,false"	
negative,"""6090"",""   ne pics of ur party workers helping poor n ordinary pple standing in long qs ? demonetization"",false,0,""arvindkejriwal"",""2016-11-22 16:27:55"",false,na,""801099904072323072"",""405427035"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""nileschandorkar"",0,false,false"	
negative,"""7666"",""~ says india is through the worst of demonetization; things should start to improve quite rapidly."	
negative,"""5465"",""there goes the claim that demonetization will stop fake notes and/or cripple terrorist funding.  19:13:03"",false,na,""801141460129239041"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""roynosaurus"",0,false,false"	
negative,bank&amp;it people are corrupt	
negative,"""5104"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-23 01:29:20"",false,na,""801236156117417984"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""vidyaranyaks"",23,true,false"	
negative,"""5103"",""thorough and balanced explanation on the demonetization effort happening in india as a crusade against black money  01:29:59"",false,na,""801236321024888834"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""sravish"",0,false,false"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,what do u mean  ? seems ur bundles are raddi now or a message?	
negative,"""7845"",""rt : web link of """"fake story"""" published by economic times on it notice <ed><u+00a0><u+00bd><ed><u+00b1><u+0087> demonetization"	
negative,it's deliberate drama being done for pr propaganda.	
negative,"""6310"",""rt : so cjithakur says there will be riots due to demonetization qs"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,"""5093"",""govt shud start giving free grocery for poor without work due to demonetization @ places like bigbazaar etc   help no?"",false,0,na,""2016-11-23 01:34:34"",false,na,""801237471996575744"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""vjshankar"",0,false,false"	
negative,"""1368"",""  or is he f***ed by modi and gone mad after demonetization"",false,0,""kunfaaya"",""2016-11-23 13:51:57"",false,""801419662667972609"",""801423040068231168"",""1516231519"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""nitinurpal"",0,false,false"	
negative,"oh, wait, where the fuck is the change?"	
negative,"""3385"",""rt : per c-voter on demonetization, approximately:"	
negative,"""4654"",""demonetization you can solve no-cash, long queue issues, so please limit your atm withdrawals up to rs.1000/- only withdrawupto1000fromatm"",false,0,na,""2016-11-23 04:38:42"",false,na,""801283813301243904"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""abhi_indelhi15"",0,false,false"	
negative,"""6641"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  14:46:20"",false,na,""801074341534257152"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""khantastix"",24,true,false"	
negative,"""252"","" yes. we should always rely on private psephologists/agencies . always reliable. can vouch for it.demonetization"",false,0,""yrdeshmukh"",""2016-11-23 17:40:12"",false,""801443083028201474"",""801480483989139456"",""103849564"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""deepubajrangi"",0,false,false"	
negative,delhities standing in long bank que's praising pm modi's demonetization &amp; cursing thug	
negative,"""7461"",""where advertising failed to cut cigarette smoking, demonetization created a cash crunch and cut cigarette sales by 40%"",false,1,na,""2016-11-22 12:26:45"",false,na,""801039210878816256"",na,""<a href="""" rel=""""nofollow"""">twitter for ipad</a>"",""arunshanbhag"",0,false,false"	
negative,"""1358"","" so hw cm stone pelting stopped after demonetization. if they dn't care 4 bullets or pellets why do they care so much 4 money?"",false,0,""kashmirlobby"",""2016-11-23 13:54:12"",false,""801321022309941248"",""801423608404971520"",""1696190059"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""meenarita"",0,false,false"	
negative,"""5893"",""big bazaar....big queues....big time consumption....big mess. yeah. chutta toh bhi milega ya nahi? :("	
negative,"""3380"",""rt : per c-voter on demonetization, approximately:"	
negative,"""7018"",""rt : very careful rollback on demonetization by"	
negative,"""938"",""15th days &amp; main headlines still on demonetization. other serious issues inc. the pak army crossfire being neglected. not good for country."",false,0,na,""2016-11-23 15:31:46"",false,na,""801448161378181121"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""jos_varun"",0,false,false"	
negative,"""5890"","" india pm modi shoots pakistani foot. pakistan fake currency factory has been closed demonetization plan will increase india gdp 25%"",false,0,""aqpk"",""2016-11-22 17:14:37"",false,""800077517185019908"",""801111657338392576"",""32849980"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""hate_pakistan"",0,false,false"	
negative,"""4203"",""  stop smoking benefits of demonetization"",false,1,""absolutelydanny"",""2016-11-23 06:10:18"",false,""801303735758704640"",""801306862750666752"",""308462961"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""dsp1808"",0,false,false"	
negative,"""3373"",""demonetization - bm hoarders finding ways to move their cash - advance salaries in cash, repaying old dues to govt and suppliers"",false,6,""centerofright"",""2016-11-23 07:55:23"",false,""801332789970948097"",""801333309397762053"",""23095992"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""centerofright"",15,false,false"	
negative,"""6895"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  13:59:05"",false,na,""801062448606441472"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""roy_2605"",24,true,false"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,"""6765"",""rt : very careful rollback on demonetization by"	
negative,"""1346"",""rt : so cjithakur says there will be riots due to demonetization qs"	
negative,"""740"",""retweeted harsh k. kapoor ():"	
negative,"""3369"",""rt : per c-voter on demonetization, approximately:"	
negative,"""7458"",""rt : don't believe what you randomly read on socialmedia about demonetization. give it some time! goodthings take time!"",false,0,na,""2016-11-22 12:26:59"",false,na,""801039271138193408"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""punitspeaks"",1,true,false"	
negative,"""1343"",""rt : so cjithakur says there will be riots due to demonetization qs"	
negative,"""4639"",""pm's office must release funds to the families of people died due to demonetization policy. cashcleanup cashcrisis"",false,0,na,""2016-11-23 04:40:34"",false,na,""801284281762885632"",na,""<a href="""" rel=""""nofollow"""">twitter for windows phone</a>"",""karanb81"",0,false,false"	
negative,"""7261"",""when entire nation is behind atm centres, i lost my wallet with all my cards and ids."	
negative,"""5079"","". can you first explain the demonetization deaths?"",false,0,""preetismenon"",""2016-11-23 01:46:18"",false,""801239360297283584"",""801240425084440576"",""988858957"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""_hazirjawab"",0,false,false"	
negative,"""7256"","" integrity &amp;  r not related, she might be cooking something for demonetization e la leather bag "",false,1,""sanju_verma_"",""2016-11-22 13:02:03"",false,""801032401740627969"",""801048094880067588"",""2441854915"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""niteshplatinum"",0,false,false"	
negative,"""662"",""rt : so cjithakur says there will be riots due to demonetization qs"	
negative,"peoplesuffer"",false,2,""mirapokhrel"",""2016-11-23 04:40:56"",false,""801283327789568000"",""801284375283400704"",""2447570619"",""<a href="""" rel=""""nofollow"""">mobile web (m2)</a>"",""mirapokhrel"",1,false,false"	
negative,"""2398"",""when the common people are supporting demonetization there is absolutely no reason for protest by opposition parties"",false,0,na,""2016-11-23 10:03:52"",false,na,""801365644319096832"",na,""<a href="""" rel=""""nofollow"""">mobile web (m2)</a>"",""shamik014"",0,false,false"	
negative,"demonetization indiafightscorruption"",false,0,""shirishkunder"",""2016-11-23 10:04:06"",false,""799582879973900288"",""801365701105741824"",""60737306"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""beingspidy"",0,false,false"	
negative,"hell yeah demonetization has broken all class barriers rich poor  everyone is equal !"",false,0,na,""2016-11-23 17:07:42"",false,na,""801472304672899072"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""parthpa07241800"",19,true,false"	
negative,"""4635"","" at least they could provide some sitting arrangements for senior citizens in the line!"	
negative,"bharuch  city in 5 min u can do both deposit  n withdrawal. noquee just fuss by politicians demonetization"",false,0,""fayedsouza"",""2016-11-23 10:06:29"",false,""801364773438947328"",""801366300039716864"",""33915298"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""tejaspatel_dr"",2,false,false"	
negative,"""1336"",""currency ban: rs21000 cr deposited in jan dhan yojana a/c; max frm west bengal. crazy stats demonetization impact.   14:00:06"",false,na,""801425093859516416"",na,""<a href="""" rel=""""nofollow"""">tweetdeck</a>"",""schaurasiya"",0,false,false"	
negative,"""5075"",""    argument that terror funding will stop after demonetization ; is baseless."",false,0,""djunnarkar74"",""2016-11-23 01:48:12"",false,""800970806297698305"",""801240905629843456"",""2214008232"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""bansodsada"",0,false,false"	
negative,"""7931"","". ma'am  my friend whose name is 'arvind banerjee' couldn't poop for 5 days due to atm queues after demonetization."",false,0,""being_humor"",""2016-11-22 11:07:29"",false,""800939831245340672"",""801019262294900736"",""438525539"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""captain_troll"",0,false,false"	
negative,"""42"",""rt : harvard's larry summers calls demonetization as poor policy with disproportionate negative impact on poor/trade."	
negative,"""2382"",""rt : unable to withdraw money for exam fees, teen hangs himself demonetization"	
negative,what does that mean for those crying their hearts out over demonetization.	
negative,"""1332"","" on demonetization """"ironically, this reform may even increase the stock of black money""""... "",false,0,""roadscholarz"",""2016-11-23 14:00:55"",false,""797772605138702337"",""801425296897384448"",""254225460"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""roadscholarz"",0,false,false"	
negative,"""4632"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-23 04:42:11"",false,na,""801284689340174337"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""senthilbe23"",23,true,false"	
negative,"""2378"",""political parties are the worst hit by demonetization &amp; now organising protest day. public appears to be calm &amp; queuing silently at banks."",false,0,na,""2016-11-23 10:09:12"",false,na,""801366983665127424"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""birdinfo"",0,false,false"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,"07:58:57"",false,""801319387672223744"",""801334206253121536"",""19929890"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""vscheruvu"",0,false,false"	
negative,"other"",false,1,na,""2016-11-23 16:22:56"",false,na,""801461037857902593"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""mukesh99100616"",0,false,false"	
negative,"""7322"",""rt : ~ says india is through the worst of demonetization; things should start to improve quite rapidly."	
negative,"""1326"","" people who think that bjp will pay for the demonetization are shortsighted"",false,0,""manjunaath"",""2016-11-23 14:02:45"",false,""801403570843226112"",""801425759336173568"",""40935245"",""<a href="""" rel=""""nofollow"""">fenix for android</a>"",""saisu"",0,false,false"	
negative,"""3338"",""demonetization - folks who used to do big ticket purchases like bikes, cars using cash have vanished away"",false,9,""centerofright"",""2016-11-23 07:59:01"",false,""801333309397762053"",""801334224515121153"",""23095992"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""centerofright"",19,false,false"	
negative,"""6758"",""rt : ~ says india is through the worst of demonetization; things should start to improve quite rapidly."	
negative,"""4176"",""rt : please stop with the """"x died due to demonetization"""" posts. correlation does not imply causation. demonetization"",false,0,na,""2016-11-23 06:13:56"",false,na,""801307777398345729"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""meetykp"",5,true,false"	
